SalesID,Date,CustomerName,CustomerPhone,CustomerEmail,VehicleMake,VehicleModel,VehicleYear,VehicleColor,VehicleType,VehicleMileage,VehicleEngine,VehicleTransmission,SalePrice,SaleType,SalespersonID,DealershipLocation,FinancingApproved,DownPayment,LoanTerm
1,2023-09-01,Customer 1,555-321-2308,customer1@email.com,Audi,A4,2024,Silver,Truck,29314,3.6L V6,CVT,25001,Used,115,San Diego,True,3235,48
2,2023-05-30,Customer 2,555-654-9072,customer2@email.com,Chevrolet,Equinox,2019,Black,Sedan,36881,2.0L I4,CVT,29978,New,120,New York,True,3344,72
3,2023-12-18,Customer 3,555-128-2380,customer3@email.com,Toyota,Tacoma,2024,Black,Truck,2555,3.6L V6,CVT,58077,New,102,Houston,False,0,0
4,2023-07-27,Customer 4,555-131-5540,customer4@email.com,Chevrolet,Equinox,2022,Gray,Coupe,58156,5.0L V8,Automatic,16644,New,118,Philadelphia,True,384,48
5,2023-09-03,Customer 5,555-628-7483,customer5@email.com,Mercedes,E-Class,2024,Silver,Coupe,38048,3.6L V6,Automatic,19651,Used,117,San Jose,False,0,0
6,2023-08-09,Customer 6,555-314-6809,customer6@email.com,Honda,CR-V,2018,Silver,SUV,40321,2.0L I4,Automatic,51350,New,109,Philadelphia,False,0,0
7,2023-09-03,Customer 7,555-520-3187,customer7@email.com,Mercedes,E-Class,2022,Gray,SUV,34965,3.6L V6,Manual,27467,New,104,San Diego,True,4424,36
8,2023-01-04,Customer 8,555-441-3634,customer8@email.com,Mercedes,S-Class,2023,Red,Coupe,19598,2.0L I4,Automatic,43533,Used,107,New York,True,4601,48
9,2023-05-15,Customer 9,555-854-7829,customer9@email.com,Toyota,RAV4,2022,Gray,SUV,16034,5.0L V8,CVT,34863,Used,117,San Diego,False,0,0
10,2023-11-23,Customer 10,555-889-7779,customer10@email.com,BMW,X5,2024,Blue,Truck,1825,2.0L I4,CVT,28278,New,116,Los Angeles,False,0,0
11,2023-12-01,Customer 11,555-379-8234,customer11@email.com,BMW,5 Series,2023,Blue,SUV,14774,2.0L I4,Manual,40237,New,102,San Antonio,False,0,0
12,2023-05-03,Customer 12,555-377-1650,customer12@email.com,BMW,X5,2023,Red,SUV,23346,2.5L I4,CVT,39119,New,106,Philadelphia,False,0,0
13,2023-12-31,Customer 13,555-569-5106,customer13@email.com,Chevrolet,Traverse,2024,Gray,SUV,7544,3.5L V6,Manual,50665,New,114,San Antonio,True,8306,36
14,2023-01-24,Customer 14,555-838-5192,customer14@email.com,Honda,Accord,2022,Gray,Sedan,30594,5.0L V8,Automatic,42717,New,104,New York,True,2284,48
15,2023-07-18,Customer 15,555-177-6088,customer15@email.com,Hyundai,Tucson,2024,Red,Truck,7613,5.0L V8,Automatic,24736,New,107,Dallas,False,0,0
16,2023-09-13,Customer 16,555-344-7743,customer16@email.com,Hyundai,Tucson,2022,White,Truck,11151,3.5L V6,CVT,26099,New,119,San Antonio,True,5978,60
17,2023-09-13,Customer 17,555-962-2335,customer17@email.com,Jeep,Cherokee,2023,Green,Truck,5050,5.0L V8,Manual,34172,Used,101,New York,True,5431,60
18,2023-10-31,Customer 18,555-142-6629,customer18@email.com,Nissan,Rogue,2023,Red,Truck,42076,3.6L V6,Automatic,32124,Used,109,Los Angeles,True,1035,0
19,2023-05-12,Customer 19,555-336-1349,customer19@email.com,Mercedes,S-Class,2021,Green,Sedan,38390,5.0L V8,CVT,39353,New,106,San Jose,True,1728,48
20,2023-09-18,Customer 20,555-262-6339,customer20@email.com,Nissan,Titan,2023,Green,SUV,12472,2.5L I4,Automatic,36511,Used,119,Chicago,True,2225,48
21,2023-07-27,Customer 21,555-899-3770,customer21@email.com,BMW,3 Series,2021,White,Coupe,6579,5.0L V8,Manual,30942,New,106,Houston,False,0,0
22,2024-01-01,Customer 22,555-596-9170,customer22@email.com,Audi,Q5,2023,Silver,Sedan,54292,5.0L V8,Automatic,29860,Used,114,Phoenix,False,0,0
23,2023-12-07,Customer 23,555-422-1663,customer23@email.com,BMW,X5,2019,Silver,SUV,6005,2.5L I4,CVT,49427,Used,115,San Diego,True,7816,36
24,2024-01-04,Customer 24,555-448-6357,customer24@email.com,Jeep,Cherokee,2021,Blue,Truck,11487,3.6L V6,CVT,40538,Used,120,San Jose,False,0,0
25,2023-01-11,Customer 25,555-733-5917,customer25@email.com,Honda,Accord,2018,Blue,SUV,41472,2.5L I4,Automatic,22016,New,120,Chicago,True,4939,0
